# Number of entries
63
# Timestamp Location
120	3737
122	2727
130	4141
130	3737
130	2828
130	3838
130	202
130	2929
133	404
138	1717
138	2121
138	1212
138	404
140	3333
140	4040
142	2323
145	3939
146	1818
147	606
150	101
150	3939
155	505
156	1515
160	2525
170	3838
170	1616
170	101
172	303
174	2020
180	3434
180	4040
180	3636
180	3535
188	3838
190	2626
190	3737
190	3030
190	707
192	2424
193	3232
200	4141
200	101
210	3939
210	404
217	1010
229	4040
229	404
230	202
230	808
230	3737
230	1919
230	303
230	909
230	4141
244	202
250	2222
250	3939
260	3131
260	303
260	1111
265	202
270	1414
274	1313
